Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Conchal;3512209;conchalense;LUIZ VANDERLEI MAGNUSSON;182.793;28273;138.02;96.7;0.708;12.2;8.641.317.651;23809
Conchas;3512308;conchense;ODIRLEI REIS;466.12;18019;34.95;97.6;0.736;9.62;5.064.558.986;19518.27
Cordeirópolis;3512407;cordeiropolense;JOSE ADINAN ORTOLAN;137.579;24826;153.22;96.7;0.758;3.55;12.167.231.628;109697.7
Coroados;3512506;coroadense;TEREZINHA APARECIDA CASTILHO VARONI;246.825;6129;21.26;98.3;0.719;13.89;1.840.657.198;27503.97
Coronel Macedo;3512605;macedense;JOSE ROBERTO SANTINONI VEIGA;303.83;4635;16.45;99.1;0.69;18.52;1.898.206.845;16545.85
Corumbataí;3512704;corumbataiense;LEANDRO MARTINEZ;278.622;4064;13.9;97;0.754;18.87;2.344.837.991;51496.46
Cosmópolis;3512803;cosmopolense;JOSE PIVATTO;154.665;73474;380.37;98;0.769;10.83;14.844.159.284;22807.24
Cosmorama;3512902;cosmoramense;LUIS FERNANDO GONÇALVES;441.68;7298;16.33;97.9;0.722;33.33;2.564.712.509;36908.64
Cotia;3513009;cotiano;ROGERIO CARDOSO FRANCO;323.994;253608;620.81;97.5;0.78;7.42;72.086.657.794;48678.74
Cravinhos;3513108;cravinhense;JOSÉ CARLOS CARRASCOSA DOS SANTOS;311.423;35579;101.77;98.1;0.756;12.44;111.134.667;29876.08
Cristais Paulista;3513207;cristalense;KATIUSCIA DE PAULA LEONARDO MENDES;385.23;8718;19.7;98.2;0.734;16.53;2.548.163.482;23225.77
Cruzália;3513306;cruzaliense;JOSÉ ROBERTO CIRINO;149.33;2046;15.26;97.8;0.774;43.48;146.318.345;60721.4
